ILOC_CODE_2016,ILOC_NAME_2016,IARE_CODE_2016,IARE_NAME_2016,IREG_CODE_2016,IREG_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
10100101,Bogan,101001,Bogan,101,Dubbo,1,New South Wales,14999.2903
10100201,Dubbo - East,101002,Dubbo,101,Dubbo,1,New South Wales,24.6352
10100202,Dubbo - North,101002,Dubbo,101,Dubbo,1,New South Wales,22.6494
10100203,Dubbo - South,101002,Dubbo,101,Dubbo,1,New South Wales,6.7414
10100204,Dubbo - Surrounds,101002,Dubbo,101,Dubbo,1,New South Wales,3734.9199
10100205,Dubbo - West,101002,Dubbo,101,Dubbo,1,New South Wales,14.114
10100301,Gilgandra,101003,Gilgandra,101,Dubbo,1,New South Wales,4442.6569
10100401,Narromine,101004,Narromine,101,Dubbo,1,New South Wales,13.455
10100402,Narromine - Surrounds,101004,Narromine,101,Dubbo,1,New South Wales,5940.8219
10100403,Trangie,101004,Narromine,101,Dubbo,1,New South Wales,1.9766
10100501,Parkes,101005,Parkes,101,Dubbo,1,New South Wales,16.9806
10100502,Parkes - Surrounds,101005,Parkes,101,Dubbo,1,New South Wales,5632.2963
10100503,Peak Hill,101005,Parkes,101,Dubbo,1,New South Wales,3.6436
10100601,Warren,101006,Warren,101,Dubbo,1,New South Wales,9681.251
10100701,Coonabarabran,101007,Warrumbungle Shire,101,Dubbo,1,New South Wales,11.0219
10100702,Coonabarabran - Surrounds,101007,Warrumbungle Shire,101,Dubbo,1,New South Wales,10463.1113
10100801,Wellington,101008,Wellington,101,Dubbo,1,New South Wales,9.3292
10100802,Wellington - Surrounds,101008,Wellington,101,Dubbo,1,New South Wales,4102.1768
10200101,Armidale,102001,Armidale,102,North-Eastern NSW,1,New South Wales,3760.1184
10200201,Glen Innes,102002,Glen Innes,102,North-Eastern NSW,1,New South Wales,5479.977
10200301,Gunnedah,102003,Gunnedah,102,North-Eastern NSW,1,New South Wales,33.352
10200302,Gunnedah - Surrounds,102003,Gunnedah,102,North-Eastern NSW,1,New South Wales,4907.9365
10200401,Guyra,102004,Guyra - Tingha,102,North-Eastern NSW,1,New South Wales,4675.7857
10200402,Tingha,102004,Guyra - Tingha,102,North-Eastern NSW,1,New South Wales,2.404
10200501,Gwydir,102005,Inverell - Gwydir,102,North-Eastern NSW,1,New South Wales,8788.6172
10200502,Inverell,102005,Inverell - Gwydir,102,North-Eastern NSW,1,New South Wales,8650.603
10200601,Liverpool Plains,102006,Liverpool Plains,102,North-Eastern NSW,1,New South Wales,5061.887
10200602,Quirindi,102006,Liverpool Plains,102,North-Eastern NSW,1,New South Wales,9.7799
10200603,Walhallow Reserve (Carooma),102006,Liverpool Plains,102,North-Eastern NSW,1,New South Wales,0.7243
10200604,Werris Creek,102006,Liverpool Plains,102,North-Eastern NSW,1,New South Wales,5.4511
10200701,Moree - North,102007,Moree,102,North-Eastern NSW,1,New South Wales,3.7889
10200702,Moree - South,102007,Moree,102,North-Eastern NSW,1,New South Wales,8.5969
10200703,Moree - West,102007,Moree,102,North-Eastern NSW,1,New South Wales,23.4059
10200704,Stanley Village,102007,Moree,102,North-Eastern NSW,1,New South Wales,3.5093
10200801,Boggabilla,102008,Moree Plains,102,North-Eastern NSW,1,New South Wales,4.3221
10200802,Moree Plains,102008,Moree Plains,102,North-Eastern NSW,1,New South Wales,17481.3758
10200803,Mungindi,102008,Moree Plains,102,North-Eastern NSW,1,New South Wales,2.2154
10200804,Toomelah,102008,Moree Plains,102,North-Eastern NSW,1,New South Wales,799.813
10200901,Muswellbrook,102009,Muswellbrook,102,North-Eastern NSW,1,New South Wales,11.8912
10200902,Muswellbrook - Surrounds,102009,Muswellbrook,102,North-Eastern NSW,1,New South Wales,3392.9928
10201001,Narrabri,102010,Narrabri,102,North-Eastern NSW,1,New South Wales,15.0958
10201002,Narrabri - Surrounds,102010,Narrabri,102,North-Eastern NSW,1,New South Wales,13041.1012
10201003,Wee Waa,102010,Narrabri,102,North-Eastern NSW,1,New South Wales,4.5377
10201101,Tamworth,102011,Tamworth,102,North-Eastern NSW,1,New South Wales,240.745
10201102,Tamworth - Surrounds,102011,Tamworth,102,North-Eastern NSW,1,New South Wales,8980.4841
10201201,Jubullum Village,102012,Tenterfield - Jubullum Village,102,North-Eastern NSW,1,New South Wales,0.9837
10201202,Tenterfield,102012,Tenterfield - Jubullum Village,102,North-Eastern NSW,1,New South Wales,7321.8093
10201301,Upper Hunter,102013,Upper Hunter,102,North-Eastern NSW,1,New South Wales,8067.533
10201401,Uralla,102014,Uralla - Walcha,102,North-Eastern NSW,1,New South Wales,3094.9609
10201402,Walcha,102014,Uralla - Walcha,102,North-Eastern NSW,1,New South Wales,6742.5352
10300101,Bourke,103001,Bourke,103,North-Western NSW,1,New South Wales,6.5338
10300102,Bourke - Surrounds,103001,Bourke,103,North-Western NSW,1,New South Wales,42022.777
10300201,Brewarrina,103002,Brewarrina,103,North-Western NSW,1,New South Wales,4.8359
10300202,Brewarrina - Surrounds,103002,Brewarrina,103,North-Western NSW,1,New South Wales,18507.2532
10300203,Goodooga,103002,Brewarrina,103,North-Western NSW,1,New South Wales,1.1289
10300301,Cobar,103003,Cobar - Murrin Bridge,103,North-Western NSW,1,New South Wales,45547.4195
10300302,Murrin Bridge,103003,Cobar - Murrin Bridge,103,North-Western NSW,1,New South Wales,3.9786
10300401,Coonamble,103004,Coonamble,103,North-Western NSW,1,New South Wales,10.1732
10300402,Coonamble - Surrounds,103004,Coonamble,103,North-Western NSW,1,New South Wales,9613.0001
10300403,Gulargambone,103004,Coonamble,103,North-Western NSW,1,New South Wales,5.4223
10300501,Broken Hill,103005,Far West,103,North-Western NSW,1,New South Wales,170.1153
10300502,Broken Hill - Surrounds,103005,Far West,103,North-Western NSW,1,New South Wales,146679.6149
10300503,Menindee,103005,Far West,103,North-Western NSW,1,New South Wales,7.6491
10300504,Wilcannia,103005,Far West,103,North-Western NSW,1,New South Wales,2.7965
10300601,Collarenebri,103006,Walgett,103,North-Western NSW,1,New South Wales,1.1145
10300602,Gingie Reserve,103006,Walgett,103,North-Western NSW,1,New South Wales,1.6608
10300603,Lightning Ridge,103006,Walgett,103,North-Western NSW,1,New South Wales,2.9268
10300605,Walgett,103006,Walgett,103,North-Western NSW,1,New South Wales,5.7855
10300607,Walgett - Surrounds (inc. Namoi Reserve),103006,Walgett,103,North-Western NSW,1,New South Wales,23301.3558
10400101,Bagotville,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,80.2488
10400102,Ballina,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,25.4978
10400103,Ballina - Surrounds,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,374.7779
10400201,Byron,104002,Byron,104,NSW Central and North Coast,1,New South Wales,568.1144
10400301,Cessnock - Bellbird - Aberdare,104003,Cessnock,104,NSW Central and North Coast,1,New South Wales,18.7561
10400302,Cessnock - Surrounds,104003,Cessnock,104,NSW Central and North Coast,1,New South Wales,1936.2013
10400303,Kurri Kurri - Weston,104003,Cessnock,104,NSW Central and North Coast,1,New South Wales,13.2501
10400401,Baryulgil - Malabugilmah,104004,Clarence Valley,104,NSW Central and North Coast,1,New South Wales,1984.8335
10400402,Clarence Valley,104004,Clarence Valley,104,NSW Central and North Coast,1,New South Wales,5774.9858
10400403,Grafton,104004,Clarence Valley,104,NSW Central and North Coast,1,New South Wales,581.4799
10400404,Yamba,104004,Clarence Valley,104,NSW Central and North Coast,1,New South Wales,8.8924
10400405,Yamba - Surrounds,104004,Clarence Valley,104,NSW Central and North Coast,1,New South Wales,2105.8985
10400501,Bellingen,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,1620.8348
10400502,Bowraville,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,2.2294
10400503,Coffs Harbour,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,1139.6078
10400504,Macksville,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,15.8438
10400505,Nambucca - Surrounds,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,1441.7236
10400506,Nambucca Heads,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,11.1453
10400507,Sawtell,104005,Coffs Harbour - Nambucca,104,NSW Central and North Coast,1,New South Wales,13.2251
10400601,Dungog,104006,Gloucester - Dungog,104,NSW Central and North Coast,1,New South Wales,2249.9983
10400602,Gloucester,104006,Gloucester - Dungog,104,NSW Central and North Coast,1,New South Wales,2933.8676
10400701,Gosford - East,104007,Gosford,104,NSW Central and North Coast,1,New South Wales,112.5828
10400702,Gosford - West,104007,Gosford,104,NSW Central and North Coast,1,New South Wales,828.6738
10400801,Bulahdelah,104008,Great Lakes,104,NSW Central and North Coast,1,New South Wales,3313.0092
10400802,Forster,104008,Great Lakes,104,NSW Central and North Coast,1,New South Wales,15.2601
10400803,Tuncurry,104008,Great Lakes,104,NSW Central and North Coast,1,New South Wales,9.0917
10400901,Kempsey,104009,Kempsey,104,NSW Central and North Coast,1,New South Wales,12.1985
10400902,Kempsey - Surrounds,104009,Kempsey,104,NSW Central and North Coast,1,New South Wales,2213.6254
10400903,Mirriwinni Gardens - Bellbrook,104009,Kempsey,104,NSW Central and North Coast,1,New South Wales,1583.12
10400904,Old Burnt - New Burnt Bridge - Greenhill,104009,Kempsey,104,NSW Central and North Coast,1,New South Wales,43.9162
10400905,South West Rocks,104009,Kempsey,104,NSW Central and North Coast,1,New South Wales,15.5227
10401001,Kyogle,104010,Kyogle,104,NSW Central and North Coast,1,New South Wales,3251.4745
10401002,Muli Muli - Woodenbong,104010,Kyogle,104,NSW Central and North Coast,1,New South Wales,300.2742
10401101,Lake Macquarie - East,104011,Lake Macquarie,104,NSW Central and North Coast,1,New South Wales,84.4432
10401102,Lake Macquarie - North,104011,Lake Macquarie,104,NSW Central and North Coast,1,New South Wales,155.4672
10401103,Lake Macquarie - West,104011,Lake Macquarie,104,NSW Central and North Coast,1,New South Wales,406.7154
10401201,Goonellabah,104012,Lismore,104,NSW Central and North Coast,1,New South Wales,25.2269
10401202,Lismore - North,104012,Lismore,104,NSW Central and North Coast,1,New South Wales,64.0396
10401203,Lismore - South,104012,Lismore,104,NSW Central and North Coast,1,New South Wales,78.9964
10401204,Lismore - Surrounds,104012,Lismore,104,NSW Central and North Coast,1,New South Wales,1134.2285
10401301,Maitland,104013,Maitland,104,NSW Central and North Coast,1,New South Wales,388.5305
10401401,Newcastle - Inner City,104014,Newcastle,104,NSW Central and North Coast,1,New South Wales,57.2118
10401402,Newcastle - Outer West,104014,Newcastle,104,NSW Central and North Coast,1,New South Wales,101.8904
10401403,Throsby,104014,Newcastle,104,NSW Central and North Coast,1,New South Wales,29.6388
10401501,Hastings,104015,Port Macquarie - Hastings,104,NSW Central and North Coast,1,New South Wales,3624.4198
10401502,Port Macquarie,104015,Port Macquarie - Hastings,104,NSW Central and North Coast,1,New South Wales,54.4224
10401503,Wauchope,104015,Port Macquarie - Hastings,104,NSW Central and North Coast,1,New South Wales,8.9278
10401601,Karuah,104016,Port Stephens,104,NSW Central and North Coast,1,New South Wales,3.0402
10401602,Medowie,104016,Port Stephens,104,NSW Central and North Coast,1,New South Wales,21.1044
10401603,Nelson Bay,104016,Port Stephens,104,NSW Central and North Coast,1,New South Wales,19.0109
10401604,Port Stephens - Surrounds,104016,Port Stephens,104,NSW Central and North Coast,1,New South Wales,820.7332
10401605,Raymond Terrace,104016,Port Stephens,104,NSW Central and North Coast,1,New South Wales,30.6032
10401701,Casino,104017,Richmond Valley,104,NSW Central and North Coast,1,New South Wales,66.559
10401702,Coraki,104017,Richmond Valley,104,NSW Central and North Coast,1,New South Wales,3.0021
10401703,Richmond Valley exc. Casino,104017,Richmond Valley,104,NSW Central and North Coast,1,New South Wales,2991.0462
10401801,Singleton,104018,Singleton,104,NSW Central and North Coast,1,New South Wales,4348.5751
10401901,Purfleet,104019,Taree,104,NSW Central and North Coast,1,New South Wales,7.5225
10401902,Taree,104019,Taree,104,NSW Central and North Coast,1,New South Wales,55.7552
10401903,Taree - Surrounds,104019,Taree,104,NSW Central and North Coast,1,New South Wales,3670.6673
10401904,Wingham,104019,Taree,104,NSW Central and North Coast,1,New South Wales,7.2556
10402001,Murwillumbah,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,1058.2154
10402002,Tweed Coast,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,129.0023
10402003,Tweed Heads,104020,Tweed,104,NSW Central and North Coast,1,New South Wales,120.4385
10402101,Wyong - North-East,104021,Wyong,104,NSW Central and North Coast,1,New South Wales,181.2653
10402102,Wyong - South-West,104021,Wyong,104,NSW Central and North Coast,1,New South Wales,558.5505
10500101,Albury - East,105001,Albury,105,Riverina - Orange,1,New South Wales,156.2986
10500102,Albury - West,105001,Albury,105,Riverina - Orange,1,New South Wales,197.556
10500201,Balranald,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,3.5294
10500202,Balranald - Wentworth - Surrounds,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,49739.6219
10500203,Coomealla,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,0.8277
10500204,Dareton,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,2.3981
10500205,Wentworth,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,4.6047
10500301,Bathurst,105003,Bathurst,105,Riverina - Orange,1,New South Wales,3809.6001
10500401,Blayney - Cabonne,105004,Blayney - Cabonne,105,Riverina - Orange,1,New South Wales,6735.0683
10500501,Carrathool - Murrumbidgee - Surrounds,105005,Carrathool - Murrumbidgee,105,Riverina - Orange,1,New South Wales,20426.5359
10500502,Darlington Point,105005,Carrathool - Murrumbidgee,105,Riverina - Orange,1,New South Wales,4.3684
10500503,Hillston,105005,Carrathool - Murrumbidgee,105,Riverina - Orange,1,New South Wales,6.3583
10500601,Central Murray,105006,Central Murray,105,Riverina - Orange,1,New South Wales,33818.7089
10500701,Coolamon - Temora - West Wyalong,105007,Coolamon - Temora - West Wyalong,105,Riverina - Orange,1,New South Wales,16807.2401
10500801,Cootamundra,105008,Cootamundra,105,Riverina - Orange,1,New South Wales,1656.1223
10500901,Cowra,105009,Cowra,105,Riverina - Orange,1,New South Wales,2897.8761
10501001,Deniliquin,105010,Deniliquin - Murray,105,Riverina - Orange,1,New South Wales,143.2081
10501002,Murray,105010,Deniliquin - Murray,105,Riverina - Orange,1,New South Wales,4343.0784
10501101,Forbes,105011,Forbes,105,Riverina - Orange,1,New South Wales,4227.7726
10501201,Griffith,105012,Griffith - Leeton,105,Riverina - Orange,1,New South Wales,1571.1695
